,estimated_distance,date,n_dispersion,dispersion_length,chisq,dof,energy,model_field_line_length_idl,TIME,GSM_X,GSM_Y,GSM_Z,MLT,L,STORM_PHASE,BX_GSM,DIST,BETA,datetime_str,KP,SW_P,DST,IMF_BY,IMF_BZ,direction,p_value,region,index,location,direction_et,dispersion_time,model_field_line_length_python,FlLen
0,1.288565453129469,2016-01-07,1.0,5,11.158798153192132,3.0,25.367474508285518,6.39077090507337,1452167550.0,6.495774272372417,0.1768529196446368,-0.5554891345566677,12.114058960273882,7.8925269117789725,0.0,97.67639770507813,6.523031701206283,0.06269775400535932,2016-01-07 11:42:30,3.0,2.0986667394638063,-12.95999984741211,0.8188000082969665,-0.9676000095903874,PARA,0.010897465780519755,Dayside,0,south,outward,25.0,,6.375624771569275
1,1.2967762406843077,2016-10-16,1.0,6,20.87677561239293,4.0,842.5521969000498,8.674906968902311,1476582900.0,-1.2389687331518424,7.622668987596078,-0.9836428616666225,18.725048975116103,7.823651826018687,4.0,-24.915250142415363,7.786006610572717,0.8484324714234791,2016-10-16 01:42:30,2.0,1.9477222561836243,-21.599999745686848,-0.7270000328620275,0.9490000307559967,PARA,0.00033498903560647,BL,1,south,outward,30.0,,8.766559808107763
2,1.35371139092055,2016-02-01,1.0,5,3.7631799697377772,3.0,26.888668918609618,6.627895735589955,1454316150.0,6.272213374439469,-2.6100986247307008,-0.8643257075696109,10.29599493769728,8.767883899495308,3.0,65.31971054077148,6.849359520987283,0.16025654104327908,2016-02-01 08:32:30,2.0,3.915666818618775,-50.07999954223633,-1.9072000086307526,-2.675999975204468,PARA,0.2881980642698123,Dayside,2,south,outward,25.0,,6.632284717942005
3,1.4400885964961767,2016-01-10,1.0,4,6.263742675507023,2.0,30.475434780120846,8.340122446809108,1452450600.0,3.6570388269486958,-7.0206887347112,-2.188761930815361,7.573935329103252,9.427186544167768,0.0,6.506397247314453,8.213521447079597,0.22534211936689155,2016-01-10 18:22:30,2.0,1.5270000100135803,0.5999999940395355,3.366333305835724,1.6233333051204677,PARA,0.04363606298831102,BL,3,south,outward,20.0,,8.355172784705314
4,1.504196802183837,2016-03-10,1.0,6,11.730270772107888,4.0,232.26799782117214,6.226994337205377,1457583600.0,3.593342922771106,-4.909171806280692,-2.6495274912410975,8.027432173815134,9.008509318713976,4.0,56.76076889038086,6.637396133036442,0.043770456344261834,2016-03-10 04:07:30,2.0,0.9650000035762787,-24.93333339691162,-2.2206666668256125,-2.537000040213267,PARA,0.019473910626218283,Dayside,4,south,outward,30.0,,6.227407460427707
5,1.523527885996009,2016-03-03,3.0,4,11.47898746019689,2.0,348.90088558197033,6.8509516978011264,1457003100.0,-3.4621410349741337,-5.479761282588432,-2.016894390916882,3.7481991234165557,7.190743844309195,0.0,-47.86287879943848,6.789029824755605,0.17605715082944454,2016-03-03 10:57:30,2.0,1.7358750104904177,-7.800000071525572,1.0775000005960464,4.074000060558319,PARA,0.0032163962277820257,BL,5,south,outward,20.0,,6.909450666240615
6,1.5291557359338992,2016-03-12,1.0,4,3.233384894175159,2.0,10.615503430366516,7.483077919136836,1457778600.0,-4.288052609096077,-5.6363554536872655,-2.2575411752466894,3.4491099411547235,7.9619420506023175,0.0,-52.359628677368164,7.433695966495524,0.2360918241895946,2016-03-12 10:22:30,2.0,,-9.950000047683716,,,PARA,0.19855434319320142,BL,6,south,outward,20.0,,7.547751976323404
7,1.765795961971075,2016-11-27,1.0,4,11.093747523270109,2.0,15.273528873920439,8.659076301591188,1480283100.0,2.802954169754237,5.9590620690065075,1.3916468376111442,16.166927225054202,6.74988847336228,0.0,-39.46868133544922,6.731482553803875,0.19454716273663564,2016-11-27 21:37:30,2.0,1.461000055074692,-10.79999995231628,3.7088749408721924,-1.6978750303387642,PARA,0.003899629378036229,BL,7,north,earthward,20.0,,8.663174902087512
8,2.020923767412736,2016-02-11,1.0,4,5.696907834022295,2.0,41.08411955833435,7.2089387052729705,1455174300.0,6.003479623387968,-4.073953703232048,-1.5495856869913753,9.37223491835351,9.908910896369205,0.0,46.23881816864014,7.419412988076829,0.10992567480851861,2016-02-11 06:57:30,2.0,1.6891249716281889,-19.050000190734863,-2.8915000557899475,-5.901999831199646,PARA,0.057933822165727955,Dayside,8,south,outward,20.0,,7.20347892266236
9,2.239322279307435,2016-02-12,1.0,4,1.651477143860174,2.0,7.5448978543281555,7.2592135175480434,1455260100.0,5.952268090166566,-4.216541879995043,-1.6401357773624974,9.279061159135434,10.031702874674675,0.0,45.666605949401855,7.477051816926406,0.3078990156429183,2016-02-12 06:47:30,2.0,3.465999960899353,-8.600000143051147,-9.5024995803833,9.622000217437744,PARA,0.4379114438973851,Dayside,9,south,outward,20.0,,7.2653632823737855
10,2.496680530105464,2016-12-07,1.0,4,0.1433722871927984,2.0,68.02775359153748,8.768567879531716,1481143200.0,3.6163679657310572,5.289116093382029,1.730954104783684,15.540513164028894,6.677639344405389,0.0,-45.761168479919434,6.637668500932717,0.49491360179909055,2016-12-07 20:32:30,2.0,5.663749814033508,-15.099999904632568,1.5930000394582748,10.014500379562378,PARA,0.9308229947277644,Dayside,10,north,earthward,20.0,,8.758186359537952
