,datetime_str,v_perp_h_all,v_perp_o_all,ygsm,energy,n_weighted
1965,2017-04-24 01:32:30,71.60249154650437,81.3791881178647,-9.908954126998458,2590.489990234375,0.001209586160257459
1966,2017-04-24 01:37:30,63.88377401767539,65.29043326477074,-10.00591387472439,2590.489990234375,0.003204729225322141
1968,2017-04-24 01:47:30,61.77616968580115,59.88381877673,-10.19934540750815,2590.489990234375,0.002756831537936802
1976,2017-04-24 03:22:30,134.5631204876346,83.49798592092358,-11.995017417830644,2590.489990234375,0.003932200385060385
1977,2017-04-24 03:27:30,120.2349551950681,73.4982517522115,-12.08682703742623,5015.2900390625,0.008848800890515604
2013,2017-04-26 16:37:30,64.70538626364115,23.44722839430161,-5.119396645871294,691.1099853515625,0.00016931779100559652
2014,2017-04-26 17:22:30,181.6427612386965,67.2051003043436,-6.052112935607897,847.5050201416016,0.002550323480158834
2015,2017-04-26 17:27:30,99.71607887282052,26.46312432368261,-6.150896532494631,1338.0400390625,0.002084223419823089
2016,2017-04-26 17:32:30,129.8161847113735,35.81016540263213,-6.248766611954969,2590.489990234375,0.00415057783148764
2021,2017-04-26 21:17:30,165.88616593016332,161.17057280487768,-9.987294250833068,2590.489990234375,0.001746212108502197
2252,2017-05-10 15:37:30,161.42709190151092,26.00496924366012,-2.72118771875336,184.3800048828125,0.002349128145863983
2253,2017-05-10 15:42:30,147.4034366015503,40.77076030187885,-2.8216305290330173,184.3800048828125,0.002685341763344059
3102,2017-07-02 11:27:30,73.45186948635512,15.45570576865164,-5.034940873813597,184.3800048828125,0.002359048696234822
3104,2017-07-02 11:37:30,185.2922293212423,12.6001006670207,-5.01304054575949,95.23999786376952,0.02013501352330689
3105,2017-07-02 11:42:30,227.4935668172579,19.268474134331356,-5.002004982723209,184.3800048828125,0.02056806873017394
3944,2017-07-25 08:27:30,63.95700645752126,51.57888280870964,7.231347001990807,9709.7900390625,0.0030092559152123358
3948,2017-07-25 09:42:30,87.5523415818148,46.60141548704812,7.752812534790883,5015.2900390625,0.003757084819964137
4976,2017-08-19 16:22:30,83.70929133815892,89.01523868097469,12.19155659015315,18798.58984375,0.01079956361290289
4977,2017-08-19 16:27:30,77.06868730216301,50.32577782920814,12.25898450762727,9709.7900390625,0.024904837363866
4979,2017-08-19 16:37:30,115.60400102921291,109.2936050936594,12.391734358028,5015.2900390625,0.0009634051821194588
5107,2017-08-22 14:22:30,236.8902733578318,149.5595074814972,13.87729565774503,5015.2900390625,0.001985464188443712
5506,2017-09-02 02:07:30,65.91207249091421,51.73074778066199,5.0621800634288165,184.3800048828125,0.0007412638515233995
6204,2017-09-16 00:07:30,81.96626106395892,75.53243695234032,9.290473044548207,5015.2900390625,0.026806659542475242
6205,2017-09-16 00:12:30,63.027017152562465,61.807229765884074,9.205705374457402,9709.7900390625,0.015096564750856491
6206,2017-09-16 00:17:30,63.05853041345629,116.127549456878,9.120596055168246,9709.7900390625,0.0028288954038122893
6207,2017-09-16 00:22:30,65.06654663794879,80.53782932720803,9.03513646407837,2590.489990234375,0.00338253285491331
6208,2017-09-16 00:27:30,79.86129288352754,57.57031594100349,8.949317694255432,2590.489990234375,0.016966856624450983
6209,2017-09-16 00:32:30,65.16602052771029,43.66735776981464,8.863131214154071,1338.0400390625,0.001508509623818099
10438,2018-07-17 06:07:30,136.4745739889649,57.23727351478996,-5.3274613327742895,1338.0400390625,0.0004307432100176811
13238,2018-10-09 09:22:30,62.708552785242176,44.8224392162816,14.819580766892493,691.1099853515625,0.009311869719204684
13244,2018-10-09 09:52:30,73.13511901752527,52.99209713904022,14.405428273298712,691.1099853515625,0.008671938773003686
13248,2018-10-09 11:02:30,142.7163010999023,134.8524903971504,13.43286160072509,5015.2900390625,0.002776577609330126
13266,2018-10-09 12:32:30,72.40149172312152,35.38295778422204,12.14609301027191,1338.0400390625,0.01199261120739067
16531,2019-07-20 02:07:30,73.74147164538384,68.14538360375775,3.270277211421918,2590.489990234375,0.001178942620754242
17721,2019-09-06 19:17:30,76.57991124347424,64.7888451722344,-1.2533703804913272,5015.2900390625,0.0061661096340074155
17722,2019-09-06 19:22:30,72.52287342201798,67.83449874001222,-1.29616856034902,5015.2900390625,0.008737019785199576
17723,2019-09-06 19:27:30,100.77737413792481,67.24569280095227,-1.3388237852896192,9709.7900390625,0.00301371011304012
17837,2019-09-13 18:42:30,223.9494611066789,19.03216917303423,0.3514633123257748,49.20000076293945,0.005597615813902911
17839,2019-09-13 18:52:30,93.16342250942957,12.81310251553524,0.2417360086423197,49.20000076293945,0.00230676335652564
18134,2019-09-27 18:07:30,637.6464203111151,14.76051893579176,3.2274427676789315,95.23999786376952,0.00912866834551096
18135,2019-09-27 18:12:30,221.7138251242736,26.36302529594829,3.1562530938715114,184.3800048828125,0.02258587428740289
18136,2019-09-27 18:17:30,432.5285229200152,36.87347056840664,3.084567030757924,184.3800048828125,0.00632415385916829
18735,2019-10-04 17:22:30,94.4732776981592,13.648371250930008,4.975712910421055,49.20000076293945,0.0051126224170064466
18736,2019-10-04 17:27:30,197.16672343362518,12.87675716970238,4.901595368804144,49.20000076293945,0.00691348755391146
18737,2019-10-04 17:32:30,187.53278488429507,17.27334949455895,4.82689187110608,49.20000076293945,0.0005923565477132798
18741,2019-10-04 18:37:30,149.6457505075809,10.637959370078141,3.799626005271599,49.20000076293945,0.0003850851102632444
18744,2019-10-04 18:52:30,203.22716669665886,11.387140314838215,3.547019529382513,49.20000076293945,0.0058019370919422
